54876f2 | ΓÇ£vikk456ΓÇ¥ | 2025-03-16 | added databse to user profile
c561aae | ΓÇ£vikk456ΓÇ¥ | 2025-03-16 | changed server
27252c6 | ΓÇ£vikk456ΓÇ¥ | 2025-03-16 | more_details link changed
ec7d787 | ΓÇ£vikk456ΓÇ¥ | 2025-03-16 | changed links
489da3b | ΓÇ£vikk456ΓÇ¥ | 2025-03-15 | added responsiveness for more details
f06b3a5 | ΓÇ£vikk456ΓÇ¥ | 2025-03-15 | Responsiveness of Home
7d3dcda | ΓÇ£vikk456ΓÇ¥ | 2025-03-14 | minute changes to js of login and server
a58d32f | ΓÇ£vikk456ΓÇ¥ | 2025-03-14 | added logout action
32cc723 | ΓÇ£vikk456ΓÇ¥ | 2025-03-14 | Merge branch 'changing-to-ejs' of https://github.com/akshay-ellendula/HappyTails into changing-to-ejs
0be5658 | ΓÇ£vikk456ΓÇ¥ | 2025-03-14 | added sessions and user authentication
2a36869 | ΓÇ£vikk456ΓÇ¥ | 2025-03-13 | changed to ejs
b15af94 | ΓÇ£vikk456ΓÇ¥ | 2025-03-13 | Removed node_modules from tracking
1f48287 | ΓÇ£vikk456ΓÇ¥ | 2025-03-13 | changes css of profile
f65493e | ΓÇ£vikk456ΓÇ¥ | 2025-03-13 | Merge branch 'main' of https://github.com/akshay-ellendula/HappyTails
1ec5416 | ΓÇ£vikk456ΓÇ¥ | 2025-03-13 | added myorders and myblogs
28138d5 | ΓÇ£vikk456ΓÇ¥ | 2025-03-12 | Merge branch 'main' of https://github.com/akshay-ellendula/HappyTails
27df2e7 | ΓÇ£vikk456ΓÇ¥ | 2025-03-12 | added mypets in profile
ff0bdd1 | ΓÇ£vikk456ΓÇ¥ | 2025-03-12 | changed footer of profile in ipad mode
d717750 | ΓÇ£vikk456ΓÇ¥ | 2025-03-12 | added user profile
5abc10d | ΓÇ£vikk456ΓÇ¥ | 2025-03-11 | changed cart css
8f23fc1 | ΓÇ£vikk456ΓÇ¥ | 2025-03-10 | added cart to pet accessories
08f1ecb | ΓÇ£vikk456ΓÇ¥ | 2025-03-10 | changed some css
